Title	Barcode	Email	Library	RBID	Checkouts	Time Period	Current Issue Default	Status	Checkout Date	Issue Date
net				RBZ0000002	0	Monthly	500	Active		
25 Beautiful Homes				RBZ0000011	0	Monthly	2500	Active		
3D World				RBZ0000014	0	Monthly	500	Active		
4 Wheel & Off Road				RBZ0000015	0	Monthly	2500	Active		
5280 Magazine				RBZ0000021	0	Monthly	2500	Active		
7 Jours				RBZ0000022	0	Weekly	2500	Active		
Affaires Plus (A+)				RBZ0000023	0	Monthly	2500	Active		
Amateur Photographer				RBZ0000040	0	Weekly	2500	Active		
American Craft				RBZ0000044	0	Monthly	2500	Active		
Aperture				RBZ0000057	0	Monthly	2500	Active		
AppleMagazine				RBZ0000059	0	Weekly	2500	Active		
Artists & Illustrators				RBZ0000066	0	Monthly	2500	Active		
Astronomy				RBZ0000068	0	Monthly	2500	Active		
Audubon Magazine				RBZ0000074	0	Monthly	2500	Active		
Auto Express				RBZ0000097	0	Weekly	2500	Active		
AZURE				RBZ0000103	0	Monthly	2500	Active		
Backpacker				RBZ0000105	0	Monthly	2500	Active		
BBC Easycook				RBZ0000111	0	Monthly	2500	Active		
BBC Good Food Magazine				RBZ0000112	0	Monthly	2500	Active		
Olive Magazine				RBZ0000113	0	Monthly	2500	Active		
Bead&Button				RBZ0000118	0	Monthly	2500	Active		
Beadwork				RBZ0000122	0	Monthly	2500	Active		
Best				RBZ0000128	0	Weekly	2500	Active		
Bicycling				RBZ0000141	0	Monthly	2500	Active		
Bike				RBZ0000146	0	Monthly	2500	Active		
Billboard Magazine				RBZ0000148	0	Weekly	2500	Active		
BirdWatching				RBZ0000149	0	Monthly	2500	Active		
Boat International				RBZ0000158	0	Monthly	2500	Active		
Boating				RBZ0000160	0	Monthly	2500	Active		
Britain				RBZ0000166	0	Monthly	2500	Active		
Canadian Living				RBZ0000187	0	Monthly	2500	Active		
Car and Driver				RBZ0000191	0	Monthly	500	Active		
Chicago Magazine				RBZ0000199	0	Monthly	2500	Active		
Cinema Scope				RBZ0000206	0	Monthly	2500	Active		
Classic American				RBZ0000210	0	Monthly	2500	Active		
Classic Bike Guide				RBZ0000211	0	Monthly	2500	Active		
Classics Monthly				RBZ0000221	0	Monthly	500	Active		
Clean Eating				RBZ0000222	0	Monthly	2500	Active		
Climbing				RBZ0000223	0	Monthly	2500	Active		
Clin d'oeil				RBZ0000224	0	Monthly	2500	Active		
Computer Music				RBZ0000233	0	Monthly	500	Active		
Computer Shopper				RBZ0000234	0	Monthly	2500	Active		
COOL!				RBZ0000241	0	Monthly	2500	Active		
Cosmopolitan				RBZ0000242	0	Monthly	500	Active		
Cosmopolitan UK				RBZ0000247	0	Monthly	2500	Active		
Country Homes & Interiors				RBZ0000253	0	Monthly	2500	Active		
Country Life				RBZ0000254	0	Weekly	2500	Active		
Country Living				RBZ0000256	0	Monthly	500	Active		
Country Living UK				RBZ0000257	0	Monthly	2500	Active		
BBC Countryfile Magazine				RBZ0000258	0	Monthly	2500	Active		
Coup de Pouce				RBZ0000259	0	Monthly	2500	Active		
CQ Amateur Radio				RBZ0000262	0	Monthly	2500	Active		
CrossStitcher				RBZ0000266	0	Monthly	2500	Active		
Cruise International				RBZ0000267	0	Monthly	2500	Active		
Cruising World				RBZ0000268	0	Monthly	2500	Active		
Cycle World				RBZ0000273	0	Monthly	2500	Active		
Cycling Plus				RBZ0000276	0	Monthly	2500	Active		
Decanter				RBZ0000278	0	Monthly	2500	Active		
Dernière Heure				RBZ0000283	0	Weekly	2500	Active		
DESIGNLINES				RBZ0000284	0	Monthly	2500	Active		
Digital Camera World				RBZ0000294	0	Monthly	500	Active		
Digital Photo Pro				RBZ0000296	0	Monthly	2500	Active		
Digital SLR Photography				RBZ0000298	0	Monthly	2500	Active		
Discover				RBZ0000304	0	Monthly	500	Active		
Dreamscapes Travel & Lifestyle Magazine				RBZ0000316	0	Monthly	2500	Active		
Dwell				RBZ0000319	0	Monthly	2500	Active		
Electronic Musician				RBZ0000335	0	Monthly	2500	Active		
Elle				RBZ0000337	0	Monthly	500	Active		
Elle Canada				RBZ0000338	0	Monthly	2500	Active		
ELLE DECOR				RBZ0000339	0	Monthly	500	Active		
ELLE QUÉBEC				RBZ0000341	0	Monthly	2500	Active		
Esquire				RBZ0000347	0	Monthly	500	Active		
Esquire UK				RBZ0000349	0	Monthly	2500	Active		
Evo				RBZ0000356	0	Monthly	2500	Active		
Family Handyman				RBZ0000363	0	Monthly	2500	Active		
Field & Stream				RBZ0000372	0	Monthly	2500	Active		
FineScale Modeler				RBZ0000375	0	Monthly	2500	Active		
Flying				RBZ0000381	0	Monthly	2500	Active		
Food Network Magazine				RBZ0000383	0	Monthly	500	Active		
Fortean Times				RBZ0000386	0	Monthly	2500	Active		
Future Music				RBZ0000395	0	Monthly	500	Active		
Games World of Puzzles				RBZ0000398	0	Monthly	2500	Active		
Gluten-Free Living				RBZ0000412	0	Monthly	2500	Active		
Golf Monthly				RBZ0000416	0	Monthly	2500	Active		
Golf Tips				RBZ0000417	0	Monthly	2500	Active		
Good Housekeeping				RBZ0000420	0	Monthly	500	Active		
Good Housekeeping UK				RBZ0000423	0	Monthly	2500	Active		
British GQ				RBZ0000429	0	Monthly	500	Active		
Gramophone Magazine				RBZ0000431	0	Monthly	2500	Active		
Grit				RBZ0000435	0	Monthly	2500	Active		
GRIT Country Skills Series				RBZ0000436	0	Monthly	2500	Active		
The Guitar Magazine				RBZ0000440	0	Monthly	2500	Active		
Guitar Player				RBZ0000441	0	Monthly	2500	Active		
Guitar Techniques				RBZ0000442	0	Monthly	500	Active		
Guitarist				RBZ0000443	0	Monthly	500	Active		
Handwoven				RBZ0000445	0	Annually	500	Active		
Harper's Bazaar				RBZ0000447	0	Monthly	500	Active		
Harper's Bazaar UK				RBZ0000449	0	Monthly	2500	Active		
Harper's Magazine				RBZ0000450	0	Monthly	500	Active		
Health & Fitness				RBZ0000453	0	Monthly	2500	Active		
HELLO! magazine				RBZ0000458	0	Weekly	2500	Active		
Homes & Gardens				RBZ0000472	0	Monthly	2500	Active		
Hot Rod				RBZ0000478	0	Monthly	2500	Active		
House Beautiful				RBZ0000482	0	Monthly	500	Active		
House Beautiful UK				RBZ0000484	0	Monthly	2500	Active		
Ideal Home				RBZ0000488	0	Monthly	2500	Active		
ImagineFX				RBZ0000489	0	Monthly	500	Active		
Inked				RBZ0000491	0	Monthly	2500	Active		
Interweave Crochet				RBZ0000500	0	Monthly	2500	Active		
Interweave Knits				RBZ0000501	0	Monthly	2500	Active		
iPad & iPhone User				RBZ0000502	0	Monthly	2500	Active		
iPhone Life				RBZ0000504	0	Monthly	2500	Active		
Kitchen Garden				RBZ0000517	0	Monthly	2500	Active		
knit.wear				RBZ0000519	0	Monthly	2500	Active		
Knitscene				RBZ0000521	0	Monthly	2500	Active		
Kung Fu Tai Chi				RBZ0000523	0	Monthly	2500	Active		
Lapidary Journal Jewelry Artist				RBZ0000530	0	Monthly	2500	Active		
Les Affaires				RBZ0000535	0	Weekly	2500	Active		
