Library Name	Title	RBID	Zenith Issue Id	Issue Date
8080 Test Library	Nat'Images	RBZ0009733	454542	08/01/2019
8080 Test Library	Nueva	RBZ0000633	396150	01/14/2019
8080 Test Library	Nueva	RBZ0000633	396151	01/28/2019
8080 Test Library	Nueva	RBZ0000633	450171	02/11/2019
8080 Test Library	Nueva	RBZ0000633	450172	02/25/2019
8080 Test Library	Nueva	RBZ0000633	450173	03/11/2019
8080 Test Library	Nueva	RBZ0000633	450174	03/25/2019
8080 Test Library	Nueva	RBZ0000633	450175	04/08/2019
8080 Test Library	Nueva	RBZ0000633	450176	04/22/2019
8080 Test Library	Nueva	RBZ0000633	450177	05/06/2019
8080 Test Library	Nueva	RBZ0000633	450178	05/20/2019
8080 Test Library	Nueva	RBZ0000633	450179	06/03/2019
8080 Test Library	Nueva	RBZ0000633	450180	06/17/2019
8080 Test Library	Nueva	RBZ0000633	450181	07/01/2019
8080 Test Library	Nueva	RBZ0000633	450182	07/15/2019
8080 Test Library	Nueva	RBZ0000633	450183	07/29/2019
8080 Test Library	Nueva	RBZ0000633	450184	08/12/2019
8080 Test Library	Nueva	RBZ0000633	450185	08/26/2019
8080 Test Library	Nueva	RBZ0000633	450186	09/09/2019
8080 Test Library	Nueva	RBZ0000633	450187	09/23/2019
8080 Test Library	Nueva	RBZ0000633	450188	10/07/2019
8080 Test Library	Nueva	RBZ0000633	450189	10/21/2019
8080 Test Library	Nueva	RBZ0000633	450190	11/04/2019
8080 Test Library	Nueva	RBZ0000633	450191	11/18/2019
8080 Test Library	Nueva	RBZ0000633	450192	12/02/2019
8080 Test Library	Nueva	RBZ0000633	450193	12/16/2019
8080 Test Library	PC Hardware	RBZ0008887	420669	03/01/2018
8080 Test Library	Performance Vauxhall	RBZ0007113	418153	02/01/2019
8080 Test Library	Performance Vauxhall	RBZ0007113	418154	04/01/2019
8080 Test Library	Performance Vauxhall	RBZ0007113	418155	06/01/2019
8080 Test Library	Performance Vauxhall	RBZ0007113	418156	08/01/2019
8080 Test Library	Performance Vauxhall	RBZ0007113	425536	10/01/2019
8080 Test Library	Point de Vue Histoire	RBZ0009756	451587	10/01/2018
8080 Test Library	Point de Vue Histoire	RBZ0009756	451588	12/01/2018
8080 Test Library	Point de Vue Histoire Hors - Série	RBZ0009757	27070	10/01/2016
8080 Test Library	Pro Guide to Sewing	RBZ0007291	253671	03/01/2014
8080 Test Library	QUICK QUILTS	RBZ0010046	424033	04/01/2019
8080 Test Library	QUICK QUILTS	RBZ0010046	442225	06/01/2019
8080 Test Library	QUICK QUILTS	RBZ0010046	442227	08/01/2019
8080 Test Library	QUICK QUILTS	RBZ0010046	442229	10/01/2019
8080 Test Library	QUICK QUILTS	RBZ0010046	442231	12/01/2019
8080 Test Library	ScrapBook inspirations - Ideas Book 2nd Edition	RBZ0002223	118567	01/01/2010
8080 Test Library	Sea Angler	RBZ0007927	436948	06/01/2019
8080 Test Library	Shape Singapore	RBZ0005813	441235	10/01/2019
8080 Test Library	Smith Journal	RBZ0000769	442116	04/01/2019
8080 Test Library	Smith Journal	RBZ0000769	442117	05/01/2019
8080 Test Library	Smith Journal	RBZ0000769	442118	09/01/2019
8080 Test Library	Smith Journal	RBZ0000769	467810	12/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431687	03/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431688	04/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431689	05/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431690	06/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431691	07/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431692	08/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431693	09/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431694	10/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431695	11/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431696	12/01/2019
8080 Test Library	Street Rodder	RBZ0000785	431697	01/01/2020
8080 Test Library	Street Rodder	RBZ0000785	431698	02/01/2020
8080 Test Library	Stuff Taiwan ????? ?????	RBZ0010183	452585	07/02/2019
8080 Test Library	Super Chevy	RBZ0001438	447728	03/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447729	04/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447731	04/05/2019
8080 Test Library	Super Chevy	RBZ0001438	447730	05/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447732	07/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447733	08/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447734	09/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447735	10/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447736	11/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447737	12/01/2019
8080 Test Library	Super Chevy	RBZ0001438	447738	01/01/2020
8080 Test Library	Super Chevy	RBZ0001438	447739	02/01/2020
8080 Test Library	Super Street	RBZ0001362	431639	03/01/2019
8080 Test Library	Super Street	RBZ0001362	431640	04/01/2019
8080 Test Library	Super Street	RBZ0001362	431641	05/01/2019
8080 Test Library	Super Street	RBZ0001362	431642	06/01/2019
8080 Test Library	Super Street	RBZ0001362	431643	07/01/2019
8080 Test Library	Super Street	RBZ0001362	431644	08/01/2019
8080 Test Library	Super Street	RBZ0001362	431645	09/01/2019
8080 Test Library	Super Street	RBZ0001362	431646	10/01/2019
8080 Test Library	Super Street	RBZ0001362	431647	11/01/2019
8080 Test Library	Super Street	RBZ0001362	431648	12/01/2019
8080 Test Library	Super Street	RBZ0001362	431649	01/01/2020
8080 Test Library	Super Street	RBZ0001362	431650	02/01/2020
8080 Test Library	The Beer Lovers Guide to Australia	RBZ0000126	161583	09/01/2011
8080 Test Library	The Big Comic Relief Crafternoon	RBZ0009167	378199	02/01/2017
8080 Test Library	The Complete Guide to Kodi	RBZ0009295	386091	04/01/2017
8080 Test Library	The Explorers Journal	RBZ0004364	455392	09/16/2019
8080 Test Library	The Handmade Interiors Book	RBZ0009155	375601	02/01/2017
8080 Test Library	The Hockey News Poolbook French	RBZ0000464	341111	01/01/2009
8080 Test Library	The Red Bulletin STRATOS	RBZ0005633	210813	12/01/2012
8080 Test Library	Torque	RBZ0003912	452074	11/01/2019
8080 Test Library	Travel Photography	RBZ0008478	10586	02/01/2016
8080 Test Library	triple j - Annual	RBZ0006847	273940	01/01/2015
8080 Test Library	Truck Trend	RBZ0000817	431821	03/01/2019
8080 Test Library	Truck Trend	RBZ0000817	431822	05/01/2019
8080 Test Library	Truck Trend	RBZ0000817	431823	07/01/2019
8080 Test Library	Truck Trend	RBZ0000817	431824	09/01/2019
8080 Test Library	Truck Trend	RBZ0000817	431825	11/01/2019
8080 Test Library	Truck Trend	RBZ0000817	431826	01/01/2020
8080 Test Library	Truckin	RBZ0000818	431587	04/01/2019
8080 Test Library	Truckin	RBZ0000818	431588	05/01/2019
8080 Test Library	Truckin	RBZ0000818	431589	06/01/2019
